,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"04/16/2025 05:57PM","04/16/2025 06:01PM","04/16/2025 05:00PM - 04/16/2025 11:00PM",273.697,"6","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","100.97.149.52","Participant 22","2","3","4","אח שלי הקטן  נגב","No","No","No","No","No","Yes","","2","3","2","1","6","1","2","6","7","4","1","3","1","1","1","1","1","2","6",
"04/17/2025 08:32PM","04/17/2025 08:33PM","04/17/2025 05:00PM - 04/17/2025 11:00PM",107.214,"7","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.8.148","Participant 22","2","1","1","אח שלי ","No","No","No","No","No","Yes","","1","2","2","2","6","1","2","1","6","3","2","4","2","2","1","1","1","1","5",
"04/18/2025 09:03PM","04/18/2025 09:05PM","04/18/2025 05:00PM - 04/18/2025 11:00PM",126.135,"8","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.1.12","Participant 22","3","1","2","היה לי משחק כדורסל ולא הלך טוב","No","No","No","No","No","Yes","","1","2","1","1","5","1","3","2","5","3","1","3","2","1","1","1","1","1","5",
"04/07/2025 06:15PM","04/07/2025 06:18PM","04/07/2025 05:00PM - 04/07/2025 11:00PM",152.798,"2","1","Finished","67f2af748ee40dc60e0f1ba6","0.0","0.0","no","-","2a0d:6fc2:4200:3c00:a98c:eb0d:c8c:1fc5","Participant 23","1","1","1","שהיום לא יצאתי מהבית בכלל וכל היום סידרתי את החדר","No","No","No","No","No","Yes","","1","7","1","7","7","7","1","1","7","1","1","5","7","1","1","7","5","1","6",
"04/09/2025 05:47PM","04/09/2025 05:49PM","04/09/2025 05:00PM - 04/09/2025 11:00PM",130.237,"4","1","Finished","67f2af748ee40dc60e0f1ba6","0.0","0.0","no","-","192.168.1.169","Participant 23","2","5","1","אח שלי עצבן אותי שלא סידר איתי את החדר","No","No","No","No","No","Yes","","5","5","1","7","7","7","1","1","7","7","1","5","6","1","1","7","7","1","7",
"04/10/2025 08:39PM","04/10/2025 08:40PM","04/10/2025 05:00PM - 04/10/2025 11:00PM",81.247,"5","1","Finished","67f2af748ee40dc60e0f1ba6","0.0","0.0","no","-","192.168.1.169","Participant 23","5","1","5","רבתי עם חבר","Yes","No","Yes","No","No","No","","1","7","1","7","7","7","1","1","7","7","1","6","7","5","5","7","7","1","6",
"04/11/2025 05:00PM","04/11/2025 05:02PM","04/11/2025 05:00PM - 04/11/2025 11:00PM",104.262,"6","1","Finished","67f2af748ee40dc60e0f1ba6","0.0","0.0","no","-","192.168.1.169","Participant 23","7","7","5","לא עשו כמו מה שביקשתי","Yes","Yes","No","No","No","No","","7","6","7","2","3","7","3","1","1","1","1","5","5","1","1","7","7","7","1",
"04/12/2025 05:11PM","04/12/2025 05:13PM","04/12/2025 05:00PM - 04/12/2025 11:00PM",95.209,"7","1","Finished","67f2af748ee40dc60e0f1ba6","0.0","0.0","no","-","2a02:14f:394:43cc:e85d:3114:1300:1061","Participant 23","3","1","1","לא הלכתי ללונה פארק","Yes","Yes","No","No","No","Yes","","6","6","5","5","6","7","1","1","5","1","1","1","5","1","1","7","7","2","2",
"04/11/2025 05:03PM","04/11/2025 05:05PM","04/11/2025 05:00PM - 04/11/2025 11:00PM",137.113,"2","1","Finished","67f6b4daa36094aa3a777309",,,"no","-","192.168.31.30","Participant 24","1","4","1","כלום","No","No","No","No","No","Yes","","2","7","1","1","7","1","1","6","7","1","1","1","5","1","2","1","1","4","6",
"04/12/2025 07:33PM","04/12/2025 07:36PM","04/12/2025 05:00PM - 04/12/2025 11:00PM",175.324,"3","1","Finished","67f6b4daa36094aa3a777309",,,"no","-","10.156.215.249","Participant 24","1","1","1",,"No","No","No","No","No","Yes","","4","1","5","1","3","1","1","1","1","1","1","1","5","1","1","4","4","1","7",
"04/13/2025 10:01PM","04/13/2025 10:03PM","04/13/2025 05:00PM - 04/13/2025 11:00PM",106.988,"4","1","Finished","67f6b4daa36094aa3a777309",,,"no","-","10.146.98.254","Participant 24","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","3","1","1","1","1","1","1","1","2","1","1","1","2","1","7",
"04/15/2025 10:06PM","04/15/2025 10:08PM","04/15/2025 05:00PM - 04/15/2025 11:00PM",115.382,"6","1","Finished","67f6b4daa36094aa3a777309",,,"no","-","192.168.31.30","Participant 24","1","1","1","כלום","No","No","No","No","No","Yes","","2","1","1","1","4","1","1","1","1","1","1","1","4","1","1","1","2","1","7",
"04/17/2025 05:56PM","04/17/2025 05:57PM","04/17/2025 05:00PM - 04/17/2025 11:00PM",83.345,"8","1","Finished","67f6b4daa36094aa3a777309",,,"no","-","192.168.31.45","Participant 24","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","7",
"04/23/2025 08:20PM","04/23/2025 08:35PM","04/23/2025 05:00PM - 04/23/2025 11:00PM",867.972,"2","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.84.107.73","Participant 25","1","1","1","היום אני אח שלי ואני רצינו ללכת לפארק עם חברים הלכנו שיחקנו. אחרי 10 ד'ק ששיחקנו הוציאו את כולם מהפרק ומי זה התעצבנתי","No","No","No","No","No","Yes","","1","1","1","1","7","1","4","1","1","1","1","1","4","1","1","1","1","1","7",
"04/24/2025 08:03PM","04/24/2025 08:12PM","04/24/2025 05:00PM - 04/24/2025 11:00PM",526.93,"3","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.100.102.12","Participant 25","1","1","1","כלום","No","No","No","No","No","Yes","","4","2","1","1","1","1","6","1","4","1","1","1","1","1","1","1","1","1","7",
"04/25/2025 09:42PM","04/25/2025 09:47PM","04/25/2025 05:00PM - 04/25/2025 11:00PM",297.49,"4","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.163.43.107","Participant 25","1","1","1","https://expimetrics.s3.amazonaws.com/Responses/Audio/1745606821357.m4a?AWSAccessKeyId=AKIAUNQ3YECAOFY6LAPM&Expires=1749038361&Signature=%2BrpSCoP8Aid1MI6g4q%2Fayx8dAMA%3D","No","No","No","No","No","Yes","","2","1","4","1","6","1","5","1","1","1","1","1","1","1","1","1","1","1","7",
"04/26/2025 08:04PM","04/26/2025 08:07PM","04/26/2025 05:00PM - 04/26/2025 11:00PM",208.141,"5","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.163.43.107","Participant 25","1","5","1","כלום","No","No","No","No","No","Yes","","5","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","7",
"04/27/2025 08:31PM","04/27/2025 08:37PM","04/27/2025 05:00PM - 04/27/2025 11:00PM",391.049,"6","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.163.43.107","Participant 25","7","1","1","כלום","No","No","No","No","No","Yes","","1","7","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","7",
"04/28/2025 09:58PM","04/28/2025 10:00PM","04/28/2025 05:00PM - 04/28/2025 11:00PM",138.263,"7","1","Finished","6807c68d08fd7252205adccc",,,"no","-","10.248.19.80","Participant 25","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","4","1","1","1","1","1","1","1","1","1","4",
"04/29/2025 07:03PM","04/29/2025 07:05PM","04/29/2025 05:00PM - 04/29/2025 11:00PM",143.617,"8","1","Finished","6807c68d08fd7252205adccc",,,"no","-","192.168.68.102","Participant 25","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","4","1","1","1","1","1","1","1","1","1","7",
"04/29/2025 09:12PM","04/29/2025 09:17PM","04/29/2025 05:00PM - 04/29/2025 11:00PM",269.792,"3","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","192.168.68.110","Participant 26","2","2","2","לא היה לי","No","No","No","No","No","Yes","","2","1","2","1","2","2","1","1","3","4","1","1","3","3","3","3","2","3","6",
"05/02/2025 07:07PM","05/02/2025 07:10PM","05/02/2025 05:00PM - 05/02/2025 11:00PM",193.693,"6","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","10.175.25.1","Participant 26","6","5","2","שום דבר","Yes","No","No","No","No","No","","7","1","7","2","2","3","3","2","2","2","1","6","2","2","7","2","3","6","3",
"05/06/2025 09:21PM","05/06/2025 09:27PM","05/06/2025 05:00PM - 05/06/2025 11:00PM",364.811,"2","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","192.168.68.101","Participant 26","4","5","5","האח הקטן שלי עיצבן אותי","Yes","No","No","No","No","No","","5","2","6","2","3","6","2","1","3","3","2","3","2","4","4","3","2","3","5",
"05/07/2025 09:41PM","05/07/2025 09:43PM","05/07/2025 05:00PM - 05/07/2025 11:00PM",131.887,"3","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","192.168.68.114","Participant 26","3","2","1","אין לי","No","No","No","No","No","Yes","","3","2","2","3","5","2","3","3","4","3","2","2","3","2","3","2","3","3","5",
"05/08/2025 10:16PM","05/08/2025 10:19PM","05/08/2025 05:00PM - 05/08/2025 11:00PM",200.019,"4","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","192.168.68.112","Participant 26","3","7","7","אמא שלי","Yes","No","No","No","No","No","","5","1","6","1","1","5","1","1","1","5","2","7","2","2","3","4","2","7","1",
"05/09/2025 10:06PM","05/09/2025 10:09PM","05/09/2025 05:00PM - 05/09/2025 11:00PM",131.04,"5","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","10.100.102.153","Participant 26","5","3","2","האח הקטן שלי","Yes","No","No","No","No","No","","3","2","3","3","4","4","4","7","2","3","3","7","3","3","3","3","3","5","5",
"05/11/2025 09:31PM","05/11/2025 09:34PM","05/11/2025 05:00PM - 05/11/2025 11:00PM",152.057,"7","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","10.119.218.228","Participant 26","2","2","2","אבא שלי ","Yes","No","No","No","No","Yes","","2","1","5","2","3","3","2","1","3","3","3","6","2","1","3","3","2","3","7",
"05/12/2025 09:20PM","05/12/2025 09:23PM","05/12/2025 05:00PM - 05/12/2025 11:00PM",179.859,"8","1","Finished","680b7bcd5a3f3054a0290c95",,,"no","-","10.119.218.228","Participant 26","5","6","3","המורה שלי צעקה עליי בגלל שלא עשיתי כלום","Yes","No","No","No","No","No","","5","2","7","1","1","2","2","1","2","2","3","2","3","2","1","2","2","6","3",
"04/30/2025 07:54PM","04/30/2025 07:57PM","04/30/2025 05:00PM - 04/30/2025 11:00PM",150.307,"2","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","192.168.1.141","Participant 27","2","6","3","אני ואמא שלי רבנו","Yes","No","No","No","No","No","","4","1","4","1","7","1","2","1","4","7","1","1","1","1","1","1","1","5","4",
"05/01/2025 05:02PM","05/01/2025 05:03PM","05/01/2025 05:00PM - 05/01/2025 11:00PM",90.676,"3","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","192.168.68.55","Participant 27","1","1","1","כואב לי הראש","No","No","No","No","No","Yes","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4",
"05/02/2025 05:01PM","05/02/2025 05:03PM","05/02/2025 05:00PM - 05/02/2025 11:00PM",124.511,"4","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","192.168.1.141","Participant 27","1","2","1","שום דבר לא עצבן אותי היום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","5","7","1","4","1","1","1","1","1","1","6",
"05/03/2025 06:09PM","05/03/2025 06:11PM","05/03/2025 05:00PM - 05/03/2025 11:00PM",111.618,"5","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","2a02:ed2:f030:913c:54eb:8efd:b12:3381","Participant 27","1","1","1","לא התעצבנתי היום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","7","4","2","1","3","1","1","1","1","3","1","7",
"05/04/2025 08:40PM","05/04/2025 08:41PM","05/04/2025 05:00PM - 05/04/2025 11:00PM",85.725,"6","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","10.47.128.107","Participant 27","1","1","1","כאבה לי הבטן ","No","No","No","No","No","Yes","","1","1","1","7","7","1","1","7","5","5","1","1","1","1","1","1","4","1","7",
"05/05/2025 08:21PM","05/05/2025 08:23PM","05/05/2025 05:00PM - 05/05/2025 11:00PM",94.538,"7","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","10.47.129.179","Participant 27","1","1","1","שום דבר לא עצבן אותי היום","No","No","No","No","No","Yes","","1","1","1","7","7","1","1","7","6","7","1","1","1","1","1","4","4","1","7",
"05/06/2025 07:24PM","05/06/2025 07:25PM","05/06/2025 05:00PM - 05/06/2025 11:00PM",81.699,"8","1","Finished","680e480f5a3f3054a045579f","0.0","0.0","no","-","2a02:ed1:f030:980e:99aa:610e:31b8:e716","Participant 27","1","2","1","נתפס לי השריר באמצע הלילה","No","No","No","No","No","Yes","","1","1","1","7","7","1","1","7","5","7","1","1","3","1","1","3","3","1","7",
"05/09/2025 07:41PM","05/09/2025 07:48PM","05/09/2025 05:00PM - 05/09/2025 11:00PM",431.864,"2","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","4","2","3","רציתי ללכת לבריכה עם חברים והם רצו בכלל ללכת למגרש","No","No","No","No","No","Yes","","3","5","3","4","5","3","5","2","3","4","1","5","4","2","2","3","5","2","6",
"05/10/2025 07:00PM","05/10/2025 07:06PM","05/10/2025 05:00PM - 05/10/2025 11:00PM",323.363,"3","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","4","3","2","רציתי נעליים אבל לא יכלו להבי לי אותם אכשיו אבל לא ממש התעצבנתי כי הבנתי שהם לא יכולים","No","No","No","No","No","Yes","","3","4","4","3","5","4","2","5","5","3","4","1","3","2","3","2","3","1","5",
"05/11/2025 05:00PM","05/11/2025 05:13PM","05/11/2025 05:00PM - 05/11/2025 11:00PM",727.826,"4","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","4","3","4","יש לנו צילומים לסדרה ברחוב וזה מאוד מגניב אבל הם חוסמים את הכביש וזה עושה הרבה רעש ואנשים מתצבנים","Yes","No","No","No","No","No","","3","6","3","5","5","3","3","3","4","3","3","4","5","4","3","3","3","2","5",
"05/12/2025 09:16PM","05/12/2025 09:20PM","05/12/2025 05:00PM - 05/12/2025 11:00PM",231.442,"5","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","3","3","3","אני אוהב לשחק כדורסל והיום שחקתי עם חברים שלי שהם יותר אוהבים כדורגל אז הם מזלזלים לפעמים בכדורסל","No","No","No","No","No","Yes","","3","4","2","5","5","3","3","3","3","4","2","3","3","2","3","3","3","3","4",
"05/13/2025 07:00PM","05/13/2025 07:04PM","05/13/2025 05:00PM - 05/13/2025 11:00PM",244.81,"6","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","3","3","2","אני רציתי שחבר שלי אבוא הביתה ונראה סדרה ביחד אבל הוא אמר שהוא מעדיף להיות במחשב","Yes","No","No","No","No","No","","3","4","3","4","4","3","4","2","4","4","3","3","3","3","3","3","3","2","4",
"05/14/2025 05:00PM","05/14/2025 05:07PM","05/14/2025 05:00PM - 05/14/2025 11:00PM",448.685,"7","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.0.0.6","Participant 28","3","3","3","היה לי מבחן במתמתיקה וזה היה על שיעור ספורט","No","No","No","No","No","Yes","","3","5","3","5","5","4","4","3","5","4","3","3","3","3","4","3","3","3","5",
"05/15/2025 05:35PM","05/15/2025 05:41PM","05/15/2025 05:00PM - 05/15/2025 11:00PM",353.536,"8","1","Finished","681cbcc574c048e93320ab34",,,"no","-","10.104.230.101","Participant 28","3","3","2","אין","No","No","No","No","No","Yes","","2","5","3","4","5","3","3","5","5","4","2","4","3","2","3","3","3","3","5",
"05/14/2025 05:58PM","05/14/2025 06:01PM","05/14/2025 05:00PM - 05/14/2025 11:00PM",170.932,"2","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","3","2","שאמרו שיהיה אזעקה על הבוקר","No","No","No","No","No","Yes","","1","5","1","5","7","4","6","4","5","6","1","1","2","2","2","2","5","2","5",
"05/15/2025 07:13PM","05/15/2025 07:15PM","05/15/2025 05:00PM - 05/15/2025 11:00PM",118.352,"3","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","שנמתח לי השריר","No","No","No","No","No","Yes","","2","5","3","4","6","3","4","4","6","6","1","4","2","2","2","2","5","2","6",
"05/16/2025 06:23PM","05/16/2025 06:25PM","05/16/2025 05:00PM - 05/16/2025 11:00PM",128.871,"4","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","שהייתה לי נסיעה ארוכה","No","No","No","No","No","Yes","","2","5","2","6","6","1","5","6","5","5","1","4","3","2","1","4","3","2","5",
"05/17/2025 06:20PM","05/17/2025 06:23PM","05/17/2025 05:00PM - 05/17/2025 11:00PM",181.669,"5","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","שבבריכה השולחנות פינג פונג היו תפוסים","No","No","No","No","No","Yes","","2","6","3","5","7","2","5","7","6","5","1","1","2","2","2","2","5","2","5",
"05/18/2025 06:44PM","05/18/2025 06:47PM","05/18/2025 05:00PM - 05/18/2025 11:00PM",177.137,"6","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","האזעקה ","No","No","No","No","No","Yes","","2","6","2","7","6","3","6","5","7","5","2","4","2","2","2","2","4","2","5",
"05/19/2025 07:15PM","05/19/2025 07:17PM","05/19/2025 05:00PM - 05/19/2025 11:00PM",119.232,"7","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","אני לא מצליח לחשוב על משהו 😅","No","No","No","No","No","Yes","","1","7","2","7","6","3","5","4","6","5","1","2","2","2","2","5","5","2","6",
"05/20/2025 07:15PM","05/20/2025 07:17PM","05/20/2025 05:00PM - 05/20/2025 11:00PM",102.715,"8","1","Finished","6823763f74c048e9335d2dea","0.0","0.0","no","-","192.168.68.76","Participant 29","2","2","2","כלום","No","No","No","No","No","Yes","","1","7","2","6","6","2","5","5","7","5","2","4","2","2","2","2","4","1","6",
"05/20/2025 05:00PM","05/20/2025 05:06PM","05/20/2025 05:00PM - 05/20/2025 11:00PM",353.879,"2","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.26.189.125","Participant 30","6","7","5","מורה וילדה עיצבנו אותי ","No","No","No","No","No","Yes","","6","1","5","1","5","6","5","1","1","6","1","4","6","1","3","5","6","2","4",
"05/21/2025 06:40PM","05/21/2025 06:43PM","05/21/2025 05:00PM - 05/21/2025 11:00PM",143.687,"3","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.226.240.161","Participant 30","3","5","4","אחותי","Yes","No","No","No","No","No","","1","6","1","2","5","2","2","1","3","5","1","5","2","1","1","3","1","1","5",
"05/22/2025 05:45PM","05/22/2025 05:48PM","05/22/2025 05:00PM - 05/22/2025 11:00PM",131.465,"4","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.24.27.169","Participant 30","4","5","1","כלום","No","No","No","No","No","Yes","","1","5","1","2","5","1","2","1","1","4","1","3","2","5","6","6","2","1","5",
"05/23/2025 05:49PM","05/23/2025 05:51PM","05/23/2025 05:00PM - 05/23/2025 11:00PM",131.968,"5","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.232.80.49","Participant 30","2","3","1","שכאב לי הרגל","Yes","No","No","No","No","No","","1","1","1","1","4","1","1","1","3","2","1","1","2","1","5","1","1","2","2",
"05/24/2025 05:06PM","05/24/2025 05:08PM","05/24/2025 05:00PM - 05/24/2025 11:00PM",129.651,"6","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.233.134.28","Participant 30","1","6","1","לא התעצבנתי","No","No","No","No","No","Yes","","2","1","1","2","4","4","1","1","2","3","1","3","1","1","2","1","4","2","5",
"05/26/2025 07:00PM","05/26/2025 07:04PM","05/26/2025 05:00PM - 05/26/2025 11:00PM",244.413,"8","1","Finished","682b442235b7c8e896a4b993","0.0","0.0","no","-","10.26.123.255","Participant 30","6","4","1","שהמורה שלי עצבנה אותי","Yes","No","No","No","No","No","","3","4","2","1","4","4","3","1","2","3","1","1","3","1","4","5","2","1","5",
